,fields,query_type,hits@10,hits@5,hits@3,hits@1
0,['text'],cross_fields,0.904,0.868,0.835,0.716
1,['text'],most_fields,0.904,0.868,0.835,0.716
2,['text'],best_fields,0.904,0.868,0.835,0.716
3,['text_lemma'],cross_fields,0.922,0.896,0.866,0.76
4,['text_lemma'],most_fields,0.922,0.896,0.866,0.76
5,['text_lemma'],best_fields,0.922,0.896,0.866,0.76
6,['ne'],cross_fields,0.443,0.381,0.333,0.233
7,['ne'],most_fields,0.443,0.381,0.333,0.233
8,['ne'],best_fields,0.443,0.381,0.333,0.233
9,['title'],cross_fields,0.125,0.061,0.035,0.012
10,['title'],most_fields,0.125,0.061,0.035,0.012
11,['title'],best_fields,0.125,0.061,0.035,0.012
12,['keywords'],cross_fields,0.748,0.705,0.654,0.519
13,['keywords'],most_fields,0.748,0.705,0.654,0.519
14,['keywords'],best_fields,0.748,0.705,0.654,0.519
15,"['text', 'title']",cross_fields,0.91,0.873,0.84,0.724
16,"['text', 'title']",most_fields,0.898,0.853,0.815,0.698
17,"['text', 'title']",best_fields,0.904,0.868,0.835,0.716
18,"['text', 'title', 'keywords', 'text_lemma', 'ne']",cross_fields,0.927,0.899,0.869,0.766
19,"['text', 'title', 'keywords', 'text_lemma', 'ne']",most_fields,0.896,0.862,0.824,0.676
20,"['text', 'title', 'keywords', 'text_lemma', 'ne']",best_fields,0.916,0.883,0.852,0.741
