,analyzer,hits@10,hits@5,hits@3,hits@1
0,shingle-1-2-3_standard_analyzer,0.9,0.87,0.833,0.712
1,standard_analyzer,0.905,0.871,0.83,0.717
2,stop-english_standard_analyzer,0.904,0.868,0.835,0.716
3,stemmer-english_standard_analyzer,0.915,0.886,0.849,0.751
4,stemmer-lightenglish_standard_analyzer,0.916,0.89,0.857,0.759
5,stemmer-lovins_standard_analyzer,0.915,0.879,0.851,0.747
6,stemmer-porter2_standard_analyzer,0.924,0.902,0.867,0.764
7,stop-english_stemmer-english_standard_analyzer,0.918,0.886,0.858,0.751
8,stop-english_stemmer-lightenglish_standard_analyzer,0.914,0.889,0.859,0.754
9,stop-english_stemmer-lovins_standard_analyzer,0.912,0.878,0.85,0.737
10,stop-english_stemmer-porter2_standard_analyzer,0.928,0.896,0.872,0.766
11,letter_analyzer,0.904,0.867,0.83,0.716
12,stop-english_letter_analyzer,0.904,0.862,0.832,0.71
13,stemmer-english_letter_analyzer,0.912,0.884,0.85,0.747
14,stemmer-lightenglish_letter_analyzer,0.914,0.89,0.856,0.753
15,stemmer-lovins_letter_analyzer,0.91,0.876,0.842,0.738
16,stemmer-porter2_letter_analyzer,0.912,0.884,0.852,0.748
17,stop-english_stemmer-english_letter_analyzer,0.915,0.88,0.852,0.748
18,stop-english_stemmer-lightenglish_letter_analyzer,0.914,0.886,0.855,0.749
19,stop-english_stemmer-lovins_letter_analyzer,0.907,0.87,0.843,0.732
20,stop-english_stemmer-porter2_letter_analyzer,0.915,0.879,0.852,0.749
21,whitespace_analyzer,0.772,0.715,0.679,0.539
22,stop-english_whitespace_analyzer,0.764,0.71,0.673,0.536
23,stemmer-english_whitespace_analyzer,0.794,0.746,0.696,0.561
24,stemmer-lightenglish_whitespace_analyzer,0.798,0.753,0.699,0.567
25,stemmer-lovins_whitespace_analyzer,0.785,0.741,0.686,0.561
26,stemmer-porter2_whitespace_analyzer,0.811,0.757,0.711,0.578
27,stop-english_stemmer-english_whitespace_analyzer,0.787,0.732,0.693,0.555
28,stop-english_stemmer-lightenglish_whitespace_analyzer,0.794,0.742,0.694,0.56
29,stop-english_stemmer-lovins_whitespace_analyzer,0.781,0.728,0.682,0.56
30,stop-english_stemmer-porter2_whitespace_analyzer,0.798,0.749,0.709,0.566
31,classic_analyzer,0.904,0.87,0.83,0.719
32,stop-english_classic_analyzer,0.905,0.868,0.835,0.715
33,stemmer-english_classic_analyzer,0.914,0.882,0.847,0.752
34,stemmer-lightenglish_classic_analyzer,0.914,0.887,0.855,0.76
35,stemmer-lovins_classic_analyzer,0.914,0.876,0.849,0.747
36,stemmer-porter2_classic_analyzer,0.922,0.899,0.865,0.765
37,stop-english_stemmer-english_classic_analyzer,0.916,0.883,0.854,0.75
38,stop-english_stemmer-lightenglish_classic_analyzer,0.914,0.886,0.857,0.752
39,stop-english_stemmer-lovins_classic_analyzer,0.912,0.877,0.849,0.736
40,stop-english_stemmer-porter2_classic_analyzer,0.926,0.894,0.869,0.765
0,shingle-1-2-3_standard_analyzer,0.899,0.87,0.833,0.712
1,stop-english_stemmer-english_shingle-1-3-3_standard_analyzer,0.86,0.816,0.776,0.652
2,shingle-1-3-3_letter_analyzer,0.904,0.865,0.827,0.72
3,stop-english_keyword-repeat_stemmer-porter2_remove_duplicates_standard_analyzer,0.927,0.894,0.868,0.767
4,keyword-repeat_stemmer-porter2_remove_duplicates_standard_analyzer,0.924,0.901,0.87,0.771
5,ngram_standard_analyzer,0.001,0.0,0.0,0.0
6,2-3-ngram_standard_analyzer,0.072,0.055,0.042,0.025
