,analyzer,hits@10,hits@5,hits@3,hits@1
0,shingle-1-2-3_standard_analyzer,0.9184782608695652,0.8532608695652174,0.7880434782608695,0.5760869565217391
1,stop-english_stemmer-english_shingle-1-3-3_standard_analyzer,0.8369565217391305,0.7391304347826086,0.6739130434782609,0.4673913043478261
2,shingle-1-3-3_letter_analyzer,0.9347826086956522,0.875,0.7989130434782609,0.592391304347826
3,stop-english_keyword-repeat_stemmer-porter2_remove_duplicates_standard_analyzer,0.9293478260869565,0.8586956521739131,0.7771739130434783,0.5760869565217391
4,keyword-repeat_stemmer-porter2_remove_duplicates_standard_analyzer,0.9293478260869565,0.8641304347826086,0.7880434782608695,0.5869565217391305
5,ngram_standard_analyzer,0.125,0.059782608695652176,0.043478260869565216,0.016304347826086956
6,2-3-ngram_standard_analyzer,0.3967391304347826,0.2717391304347826,0.23369565217391305,0.1358695652173913
7,ngram_standard_analyzer,0.125,0.059782608695652176,0.043478260869565216,0.016304347826086956
8,2-3-ngram_standard_analyzer,0.3967391304347826,0.2717391304347826,0.23369565217391305,0.1358695652173913
9,stop-english_keyword-repeat_stemmer-porter2_remove_duplicates_standard_analyzer,0.9293478260869565,0.8586956521739131,0.7771739130434783,0.5760869565217391
10,keyword-repeat_stemmer-porter2_remove_duplicates_standard_analyzer,0.9293478260869565,0.8641304347826086,0.7880434782608695,0.5869565217391305
11,standard_analyzer,0.9402173913043478,0.8641304347826086,0.7989130434782609,0.6086956521739131
12,stop-english_standard_analyzer,0.9402173913043478,0.8641304347826086,0.8043478260869565,0.6032608695652174
13,stemmer-english_standard_analyzer,0.9293478260869565,0.8695652173913043,0.7934782608695652,0.5815217391304348
14,stemmer-lightenglish_standard_analyzer,0.9239130434782609,0.875,0.7989130434782609,0.5597826086956522
15,stemmer-lovins_standard_analyzer,0.9130434782608695,0.8695652173913043,0.782608695652174,0.5597826086956522
16,stemmer-porter2_standard_analyzer,0.9347826086956522,0.8641304347826086,0.7934782608695652,0.5815217391304348
17,stop-english_stemmer-english_standard_analyzer,0.9347826086956522,0.8641304347826086,0.7989130434782609,0.5815217391304348
18,stop-english_stemmer-lightenglish_standard_analyzer,0.9293478260869565,0.875,0.8206521739130435,0.5706521739130435
19,stop-english_stemmer-lovins_standard_analyzer,0.9130434782608695,0.8641304347826086,0.7880434782608695,0.5543478260869565
20,stop-english_stemmer-porter2_standard_analyzer,0.9347826086956522,0.8532608695652174,0.7934782608695652,0.5815217391304348
21,letter_analyzer,0.9347826086956522,0.875,0.8097826086956522,0.6032608695652174
22,stop-english_letter_analyzer,0.9347826086956522,0.8695652173913043,0.8152173913043478,0.592391304347826
23,stemmer-english_letter_analyzer,0.9347826086956522,0.8641304347826086,0.8043478260869565,0.592391304347826
24,stemmer-lightenglish_letter_analyzer,0.9293478260869565,0.8804347826086957,0.8206521739130435,0.5815217391304348
25,stemmer-lovins_letter_analyzer,0.9184782608695652,0.875,0.7880434782608695,0.5543478260869565
26,stemmer-porter2_letter_analyzer,0.9347826086956522,0.8641304347826086,0.7989130434782609,0.592391304347826
27,stop-english_stemmer-english_letter_analyzer,0.9347826086956522,0.8641304347826086,0.7934782608695652,0.5869565217391305
28,stop-english_stemmer-lightenglish_letter_analyzer,0.9239130434782609,0.8858695652173914,0.8206521739130435,0.5869565217391305
29,stop-english_stemmer-lovins_letter_analyzer,0.9184782608695652,0.8695652173913043,0.7771739130434783,0.5652173913043478
30,stop-english_stemmer-porter2_letter_analyzer,0.9347826086956522,0.8641304347826086,0.7880434782608695,0.592391304347826
31,whitespace_analyzer,0.6847826086956522,0.6141304347826086,0.532608695652174,0.3804347826086957
32,stop-english_whitespace_analyzer,0.6793478260869565,0.625,0.5380434782608695,0.3641304347826087
33,stemmer-english_whitespace_analyzer,0.6793478260869565,0.6195652173913043,0.5271739130434783,0.3858695652173913
34,stemmer-lightenglish_whitespace_analyzer,0.6739130434782609,0.6141304347826086,0.5434782608695652,0.40217391304347827
35,stemmer-lovins_whitespace_analyzer,0.6739130434782609,0.6086956521739131,0.532608695652174,0.3804347826086957
36,stemmer-porter2_whitespace_analyzer,0.6847826086956522,0.6195652173913043,0.5271739130434783,0.3858695652173913
37,stop-english_stemmer-english_whitespace_analyzer,0.6902173913043478,0.625,0.5380434782608695,0.375
38,stop-english_stemmer-lightenglish_whitespace_analyzer,0.6847826086956522,0.6304347826086957,0.5543478260869565,0.3967391304347826
39,stop-english_stemmer-lovins_whitespace_analyzer,0.6793478260869565,0.625,0.5434782608695652,0.3858695652173913
40,stop-english_stemmer-porter2_whitespace_analyzer,0.6847826086956522,0.6304347826086957,0.5380434782608695,0.375
41,classic_analyzer,0.9402173913043478,0.8586956521739131,0.7934782608695652,0.592391304347826
42,stop-english_classic_analyzer,0.9402173913043478,0.8532608695652174,0.7989130434782609,0.5869565217391305
43,stemmer-english_classic_analyzer,0.9293478260869565,0.8695652173913043,0.7934782608695652,0.5652173913043478
