,b,k1,hits@10,hits@5,hits@3,hits@1
0,0.0,0.0,0.892,0.853,0.817,0.691
1,0.0,0.1,0.897,0.867,0.832,0.702
2,0.0,0.2,0.901,0.869,0.836,0.711
3,0.0,0.30000000000000004,0.9,0.877,0.836,0.711
4,0.0,0.4,0.906,0.874,0.843,0.711
5,0.0,0.5,0.906,0.873,0.845,0.714
6,0.0,0.6000000000000001,0.907,0.875,0.847,0.718
7,0.0,0.7000000000000001,0.909,0.875,0.847,0.715
8,0.0,0.8,0.908,0.874,0.846,0.711
9,0.0,0.9,0.909,0.878,0.845,0.703
10,0.0,1.0,0.909,0.878,0.847,0.698
11,0.0,1.1,0.909,0.875,0.843,0.699
12,0.0,1.2000000000000002,0.909,0.875,0.839,0.696
13,0.0,1.3,0.909,0.873,0.834,0.694
14,0.0,1.4000000000000001,0.909,0.873,0.834,0.687
15,0.0,1.5,0.906,0.873,0.831,0.683
16,0.0,1.6,0.905,0.869,0.822,0.679
17,0.0,1.7000000000000002,0.905,0.864,0.82,0.675
18,0.0,1.8,0.905,0.863,0.819,0.672
19,0.0,1.9000000000000001,0.904,0.862,0.818,0.662
20,0.0,2.0,0.904,0.858,0.818,0.659
21,0.0,2.1,0.904,0.859,0.814,0.653
22,0.0,2.2,0.904,0.856,0.815,0.65
23,0.0,2.3000000000000003,0.902,0.856,0.81,0.647
24,0.0,2.4000000000000004,0.902,0.853,0.803,0.642
25,0.0,2.5,0.899,0.854,0.801,0.64
26,0.0,2.6,0.896,0.851,0.801,0.637
27,0.0,2.7,0.896,0.847,0.796,0.636
28,0.0,2.8000000000000003,0.896,0.846,0.791,0.631
29,0.0,2.9000000000000004,0.896,0.841,0.785,0.629
30,0.0,3.0,0.894,0.838,0.781,0.628
31,0.05,0.0,0.893,0.854,0.817,0.689
32,0.05,0.1,0.898,0.868,0.833,0.705
33,0.05,0.2,0.903,0.87,0.837,0.714
34,0.05,0.30000000000000004,0.903,0.878,0.839,0.713
35,0.05,0.4,0.908,0.877,0.845,0.715
36,0.05,0.5,0.907,0.877,0.848,0.719
37,0.05,0.6000000000000001,0.908,0.878,0.848,0.719
38,0.05,0.7000000000000001,0.909,0.88,0.848,0.719
39,0.05,0.8,0.909,0.879,0.848,0.714
40,0.05,0.9,0.909,0.879,0.85,0.708
41,0.05,1.0,0.909,0.88,0.849,0.704
42,0.05,1.1,0.91,0.879,0.85,0.702
43,0.05,1.2000000000000002,0.91,0.879,0.846,0.703
44,0.05,1.3,0.91,0.879,0.841,0.702
45,0.05,1.4000000000000001,0.912,0.877,0.839,0.697
46,0.05,1.5,0.91,0.876,0.837,0.692
47,0.05,1.6,0.909,0.876,0.832,0.686
48,0.05,1.7000000000000002,0.909,0.871,0.826,0.684
49,0.05,1.8,0.91,0.869,0.823,0.679
50,0.05,1.9000000000000001,0.909,0.866,0.82,0.679
51,0.05,2.0,0.909,0.864,0.819,0.671
52,0.05,2.1,0.91,0.863,0.818,0.669
53,0.05,2.2,0.908,0.862,0.816,0.659
54,0.05,2.3000000000000003,0.906,0.86,0.815,0.658
55,0.05,2.4000000000000004,0.904,0.858,0.813,0.655
56,0.05,2.5,0.902,0.857,0.808,0.651
57,0.05,2.6,0.901,0.856,0.806,0.648
58,0.05,2.7,0.901,0.854,0.802,0.644
59,0.05,2.8000000000000003,0.899,0.85,0.8,0.641
60,0.05,2.9000000000000004,0.897,0.847,0.796,0.64
61,0.05,3.0,0.897,0.845,0.789,0.637
62,0.1,0.0,0.892,0.854,0.815,0.691
63,0.1,0.1,0.9,0.867,0.833,0.705
64,0.1,0.2,0.903,0.871,0.839,0.714
65,0.1,0.30000000000000004,0.907,0.879,0.841,0.715
66,0.1,0.4,0.908,0.88,0.849,0.717
67,0.1,0.5,0.906,0.877,0.85,0.724
68,0.1,0.6000000000000001,0.907,0.88,0.851,0.722
69,0.1,0.7000000000000001,0.909,0.881,0.852,0.719
70,0.1,0.8,0.91,0.882,0.851,0.721
71,0.1,0.9,0.91,0.881,0.851,0.716
72,0.1,1.0,0.91,0.881,0.85,0.715
73,0.1,1.1,0.911,0.88,0.851,0.713
74,0.1,1.2000000000000002,0.91,0.88,0.849,0.71
75,0.1,1.3,0.911,0.879,0.846,0.709
76,0.1,1.4000000000000001,0.912,0.878,0.839,0.704
77,0.1,1.5,0.91,0.877,0.837,0.702
78,0.1,1.6,0.909,0.874,0.834,0.697
79,0.1,1.7000000000000002,0.909,0.873,0.834,0.691
80,0.1,1.8,0.911,0.874,0.827,0.687
81,0.1,1.9000000000000001,0.91,0.87,0.822,0.685
82,0.1,2.0,0.909,0.867,0.821,0.683
83,0.1,2.1,0.909,0.867,0.82,0.681
84,0.1,2.2,0.909,0.865,0.819,0.679
85,0.1,2.3000000000000003,0.909,0.862,0.818,0.673
86,0.1,2.4000000000000004,0.907,0.862,0.814,0.667
87,0.1,2.5,0.905,0.86,0.812,0.662
88,0.1,2.6,0.903,0.86,0.809,0.657
89,0.1,2.7,0.903,0.857,0.808,0.653
90,0.1,2.8000000000000003,0.903,0.854,0.806,0.651
91,0.1,2.9000000000000004,0.901,0.85,0.803,0.647
92,0.1,3.0,0.9,0.849,0.801,0.642
93,0.15000000000000002,0.0,0.891,0.853,0.816,0.689
94,0.15000000000000002,0.1,0.9,0.868,0.833,0.707
95,0.15000000000000002,0.2,0.904,0.871,0.839,0.713
96,0.15000000000000002,0.30000000000000004,0.908,0.88,0.844,0.717
97,0.15000000000000002,0.4,0.909,0.88,0.848,0.716
98,0.15000000000000002,0.5,0.908,0.88,0.851,0.724
99,0.15000000000000002,0.6000000000000001,0.907,0.883,0.852,0.723
100,0.15000000000000002,0.7000000000000001,0.908,0.883,0.854,0.727
101,0.15000000000000002,0.8,0.911,0.884,0.853,0.726
102,0.15000000000000002,0.9,0.91,0.885,0.852,0.727
103,0.15000000000000002,1.0,0.911,0.885,0.853,0.722
104,0.15000000000000002,1.1,0.91,0.884,0.854,0.718
105,0.15000000000000002,1.2000000000000002,0.909,0.882,0.852,0.717
106,0.15000000000000002,1.3,0.911,0.882,0.849,0.716
107,0.15000000000000002,1.4000000000000001,0.912,0.881,0.85,0.714
108,0.15000000000000002,1.5,0.912,0.878,0.843,0.709
109,0.15000000000000002,1.6,0.912,0.878,0.843,0.706
110,0.15000000000000002,1.7000000000000002,0.911,0.875,0.84,0.704
111,0.15000000000000002,1.8,0.912,0.875,0.835,0.706
112,0.15000000000000002,1.9000000000000001,0.91,0.874,0.828,0.701
