,query type,fields,hits@10,hits@5,hits@3,hits@1
0,cross_fields,"('title^1.5', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.25')",0.922,0.883,0.852,0.747
1,cross_fields,"('title^2.0', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.0')",0.922,0.885,0.853,0.748
2,cross_fields,"('title^1.75', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.0')",0.922,0.884,0.853,0.749
3,cross_fields,"('title^2.0', 'text^1.0', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.25')",0.922,0.878,0.844,0.738
4,cross_fields,"('title^2.0', 'text^1.0', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.0')",0.922,0.877,0.843,0.736
5,cross_fields,"('title^2.0', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.5')",0.922,0.885,0.853,0.748
6,cross_fields,"('title^2.0', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.25')",0.922,0.885,0.853,0.747
7,cross_fields,"('title^1.75', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.25')",0.922,0.884,0.853,0.748
8,cross_fields,"('title^1.5', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.0')",0.922,0.883,0.852,0.748
9,cross_fields,"('title^1.0', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.0')",0.921,0.882,0.853,0.748
10,cross_fields,"('title^1.25', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.0')",0.921,0.883,0.852,0.748
11,cross_fields,"('title^2.0', 'text^1.0', 'text_lemma^1.25', 'keywords^1.5', 'ne^1.0')",0.921,0.879,0.847,0.742
12,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.5')",0.921,0.885,0.851,0.746
13,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.0')",0.921,0.886,0.852,0.751
14,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.25')",0.921,0.886,0.852,0.751
15,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.5')",0.921,0.885,0.852,0.75
16,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.5')",0.921,0.886,0.852,0.749
17,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.25')",0.921,0.887,0.852,0.749
18,cross_fields,"('title^1.25', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.25')",0.921,0.883,0.852,0.747
19,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.25')",0.921,0.885,0.851,0.746
20,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.0')",0.921,0.885,0.851,0.746
21,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.0')",0.921,0.883,0.853,0.752
22,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.5')",0.921,0.883,0.853,0.751
23,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.0')",0.921,0.887,0.852,0.749
24,cross_fields,"('title^1.0', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.25')",0.921,0.882,0.853,0.747
25,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.5')",0.921,0.886,0.853,0.751
26,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.25')",0.921,0.883,0.853,0.752
27,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.25')",0.921,0.887,0.853,0.752
28,cross_fields,"('title^1.75', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.5')",0.921,0.884,0.853,0.749
29,cross_fields,"('title^1.5', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.5')",0.921,0.883,0.852,0.748
30,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.0')",0.921,0.887,0.853,0.752
31,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.0')",0.921,0.886,0.852,0.746
32,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.25')",0.921,0.886,0.852,0.746
33,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.5')",0.921,0.886,0.852,0.745
34,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.0')",0.92,0.884,0.854,0.752
35,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.0')",0.92,0.885,0.851,0.745
36,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.0')",0.92,0.882,0.854,0.751
37,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.5')",0.92,0.883,0.853,0.75
38,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.0')",0.92,0.883,0.853,0.751
39,cross_fields,"('title^1.0', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.5')",0.92,0.882,0.853,0.748
40,cross_fields,"('title^1.5', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.75')",0.92,0.885,0.854,0.741
41,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.5')",0.92,0.883,0.854,0.75
42,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.75')",0.92,0.885,0.852,0.746
43,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.25')",0.92,0.885,0.851,0.745
44,cross_fields,"('title^1.75', 'text^1.0', 'text_lemma^1.0', 'keywords^1.25', 'ne^1.0')",0.92,0.882,0.843,0.743
45,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.5')",0.92,0.886,0.854,0.752
46,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.5')",0.92,0.885,0.851,0.745
47,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.5')",0.92,0.885,0.853,0.747
48,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.25')",0.92,0.886,0.852,0.747
49,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.0')",0.92,0.886,0.852,0.747
50,cross_fields,"('title^2.0', 'text^1.25', 'text_lemma^1.25', 'keywords^1.5', 'ne^1.0')",0.92,0.88,0.845,0.74
51,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.0')",0.92,0.887,0.854,0.754
52,cross_fields,"('title^2.0', 'text^1.25', 'text_lemma^1.0', 'keywords^1.25', 'ne^1.0')",0.92,0.882,0.858,0.746
53,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.25', 'keywords^1.75', 'ne^1.25')",0.92,0.887,0.854,0.754
54,cross_fields,"('title^2.0', 'text^1.25', 'text_lemma^1.0', 'keywords^1.25', 'ne^1.25')",0.92,0.886,0.858,0.743
55,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.5')",0.92,0.884,0.854,0.751
56,cross_fields,"('title^2.0', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.25')",0.92,0.884,0.854,0.752
57,cross_fields,"('title^1.5', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.25')",0.92,0.883,0.853,0.751
58,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.25')",0.92,0.882,0.854,0.751
59,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.0')",0.92,0.884,0.851,0.745
60,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^2.0')",0.92,0.884,0.853,0.738
61,cross_fields,"('title^2.0', 'text^1.0', 'text_lemma^1.0', 'keywords^1.25', 'ne^1.0')",0.92,0.88,0.844,0.743
62,cross_fields,"('title^1.75', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.75')",0.92,0.884,0.851,0.746
63,cross_fields,"('title^1.25', 'text^1.5', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.0')",0.92,0.883,0.853,0.75
64,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.5')",0.92,0.885,0.852,0.745
65,cross_fields,"('title^1.25', 'text^1.75', 'text_lemma^1.0', 'keywords^1.75', 'ne^1.5')",0.92,0.883,0.852,0.748
66,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.25')",0.92,0.884,0.851,0.745
67,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.25')",0.92,0.885,0.852,0.745
68,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.0')",0.92,0.885,0.852,0.745
69,cross_fields,"('title^2.0', 'text^1.75', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.25')",0.92,0.889,0.853,0.749
70,cross_fields,"('title^1.0', 'text^2.0', 'text_lemma^1.0', 'keywords^2.0', 'ne^1.5')",0.92,0.884,0.852,0.745
71,cross_fields,"('title^2.0', 'text^1.75', 'text_lemma^1.0', 'keywords^1.5', 'ne^1.0')",0.92,0.889,0.853,0.75
72,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.25')",0.92,0.883,0.854,0.751
73,cross_fields,"('title^1.25', 'text^2.0', 'text_lemma^1.25', 'keywords^2.0', 'ne^1.0')",0.92,0.883,0.854,0.751
