,shards,hits@10,hits@10_dfs,hits@5,hits@5_dfs,hits@3,hits@3_dfs,hits@1,hits@1_dfs
0,1,0.928,0.928,0.896,0.896,0.871,0.871,0.766,0.766
1,2,0.926,0.928,0.892,0.896,0.867,0.872,0.764,0.766
2,3,0.923,0.928,0.892,0.896,0.865,0.872,0.759,0.766
3,4,0.924,0.928,0.888,0.896,0.869,0.871,0.761,0.766
4,5,0.918,0.928,0.893,0.896,0.87,0.872,0.75,0.766
5,6,0.924,0.928,0.886,0.896,0.854,0.871,0.759,0.766
6,7,0.922,0.928,0.89,0.896,0.861,0.871,0.754,0.766
7,8,0.921,0.928,0.883,0.896,0.855,0.872,0.751,0.766
8,9,0.918,0.928,0.887,0.896,0.86,0.872,0.744,0.766
9,10,0.919,0.928,0.886,0.896,0.861,0.872,0.748,0.766
10,15,0.921,0.928,0.888,0.896,0.859,0.871,0.744,0.766
11,20,0.913,0.928,0.88,0.896,0.853,0.872,0.742,0.766
12,30,0.908,0.928,0.88,0.896,0.851,0.872,0.73,0.766
